Dat,Intercept,Value,Kg
464,-189989.40,82175,9.8
465,-189989.40,82194,9.8
466,-189989.40,81861,9.8
467,-189989.40,82112,9.8
468,-189989.40,82077,9.8
469,-189989.40,81944,9.8
470,-189989.40,82099,9.8
471,-189989.40,82046,9.8
472,-189989.40,81996,9.8
473,-189989.40,81885,9.8
474,-189989.40,82052,9.8
475,-189989.40,82047,9.8
476,-189989.40,82077,9.8
477,-189989.40,81994,9.8
478,-189989.40,81893,9.8
479,-189989.40,82106,9.8
480,-189989.40,82029,9.8
481,-189989.40,82019,9.8
482,-189989.40,81965,9.8
483,-189989.40,82166,9.8
484,-189989.40,82057,9.8
485,-189989.40,82055,9.8
486,-189989.40,81954,9.8
487,-189989.40,82038,9.8
488,-189989.40,82073,9.8
489,-189989.40,81953,9.8
490,-189989.40,82106,9.8
491,-189989.40,82034,9.8
492,-189989.40,81911,9.8
493,-189989.40,82155,9.8
494,-189989.40,81921,9.8
495,-189989.40,81978,9.8
496,-189989.40,82018,9.8
497,-189989.40,81901,9.8
498,-189989.40,81963,9.8
499,-189989.40,81980,9.8
500,-189989.40,140368,11.9
501,-189989.40,140602,11.9
502,-189989.40,140444,11.9
503,-189989.40,140339,11.9
504,-189989.40,140328,11.9
505,-189989.40,140280,11.9
506,-189989.40,140232,11.9
507,-189989.40,140491,11.9
508,-189989.40,140279,11.9
509,-189989.40,140382,11.9
510,-189989.40,140475,11.9
511,-189989.40,140528,11.9
512,-189989.40,140324,11.9
513,-189989.40,140467,11.9
514,-189989.40,140354,11.9
515,-189989.40,140312,11.9
516,-189989.40,140312,11.9
517,-189989.40,140486,11.9
518,-189989.40,140373,11.9
519,-189989.40,140373,11.9
520,-189989.40,140412,11.9
521,-189989.40,140387,11.9
522,-189989.40,140507,11.9
523,-189989.40,140356,11.9
524,-189989.40,140391,11.9
525,-189989.40,140348,11.9
526,-189989.40,140334,11.9
527,-189989.40,140363,11.9
528,-189989.40,140457,11.9
529,-189989.40,140337,11.9
530,-189989.40,140261,11.9
531,-189989.40,140224,11.9
532,-189989.40,140302,11.9
533,-189989.40,140269,11.9
534,-189989.40,140368,11.9
535,-189989.40,140431,11.9
536,-189989.40,140336,11.9
537,-189989.40,140524,11.9
538,-189989.40,140290,11.9
539,-189989.40,140319,11.9
540,-189989.40,140276,11.9
541,-189989.40,140439,11.9
542,-189989.40,140377,11.9
543,-189989.40,140295,11.9
544,-189989.40,140311,11.9
545,-189989.40,140325,11.9
546,-189989.40,140378,11.9
547,-189989.40,140329,11.9
548,-189989.40,140337,11.9
549,-189989.40,140469,11.9
550,-189989.40,140330,11.9
551,-189989.40,140148,11.9
552,-189989.40,140144,11.9
553,-189989.40,140142,11.9
554,-189989.40,140262,11.9
555,-189989.40,140273,11.9
