Intercept,Value,Kg,,3.55,3.56,3.57,Err with diff grads
-192396.5,353122,19.6,545518.5,19.36590675,19.4204586,19.47501045,0.054551850000003
-192396.5,353175,19.6,545571.5,19.36778825,19.4223454,19.47690255,0.054557150000001
-192396.5,353091,19.6,545487.5,19.36480625,19.419355,19.47390375,0.05454875
-192396.5,353474,19.6,545870.5,19.37840275,19.4329898,19.48757685,0.05458705
-192396.5,353315,19.6,545711.5,19.37275825,19.4273294,19.48190055,0.054571150000001
-192396.5,353449,19.6,545845.5,19.37751525,19.4320998,19.48668435,0.054584550000001
-192396.5,353387,19.6,545783.5,19.37531425,19.4298926,19.48447095,0.054578350000002
-192396.5,353284,19.6,545680.5,19.37165775,19.4262258,19.48079385,0.05456805
-192396.5,353262,19.6,545658.5,19.37087675,19.4254426,19.48000845,0.054565850000003
-192396.5,353381,19.6,545777.5,19.37510125,19.429679,19.48425675,0.05457775
-192396.5,353463,19.6,545859.5,19.37801225,19.4325982,19.48718415,0.054585950000002
-192396.5,353459,19.6,545855.5,19.37787025,19.4324558,19.48704135,0.054585550000002
-192396.5,353482,19.6,545878.5,19.37868675,19.4332746,19.48786245,0.054587850000003
-192396.5,353308,19.6,545704.5,19.37250975,19.4270802,19.48165065,0.054570450000002
-192396.5,353270,19.6,545666.5,19.37116075,19.4257274,19.48029405,0.054566650000002
-192396.5,353310,19.6,545706.5,19.37258075,19.4271514,19.48172205,0.054570650000001
-192396.5,353274,19.6,545670.5,19.37130275,19.4258698,19.48043685,0.054567050000001
-192396.5,353252,19.6,545648.5,19.37052175,19.4250866,19.47965145,0.054564850000002
-192396.5,353342,19.6,545738.5,19.37371675,19.4282906,19.48286445,0.054573850000001
-192396.5,353469,19.6,545865.5,19.37822525,19.4328118,19.48739835,0.054586550000002
-192396.5,353299,19.6,545695.5,19.37219025,19.4267598,19.48132935,0.05456955
-192396.5,353257,19.6,545653.5,19.37069925,19.4252646,19.47982995,0.054565350000003
-192396.5,353302,19.6,545698.5,19.37229675,19.4268666,19.48143645,0.054569850000004
-192396.5,353433,19.6,545829.5,19.37694725,19.4315302,19.48611315,0.054582950000002
-192396.5,353484,19.6,545880.5,19.37875775,19.4333458,19.48793385,0.054588050000001
-192396.5,353437,19.6,545833.5,19.37708925,19.4316726,19.48625595,0.054583350000002
-192396.5,353215,19.6,545611.5,19.36920825,19.4237694,19.47833055,0.054561150000001
-192396.5,353246,19.6,545642.5,19.37030875,19.424873,19.47943725,0.05456425
-192396.5,352983,19.6,545379.5,19.36097225,19.4155102,19.47004815,0.05453795
-192396.5,353347,19.6,545743.5,19.37389425,19.4284686,19.48304295,0.054574350000001
-192396.5,353133,19.6,545529.5,19.36629725,19.4208502,19.47540315,0.054552950000002
-192396.5,353247,19.6,545643.5,19.37034425,19.4249086,19.47947295,0.054564350000002
-192396.5,353193,19.6,545589.5,19.36842725,19.4229862,19.47754515,0.054558950000001
-192396.5,353342,19.6,545738.5,19.37371675,19.4282906,19.48286445,0.054573850000001
-192396.5,353078,19.6,545474.5,19.36434475,19.4188922,19.47343965,0.054547450000001
-192396.5,352982,19.6,545378.5,19.36093675,19.4154746,19.47001245,0.054537850000003
-192396.5,353129,19.6,545525.5,19.36615525,19.4207078,19.47526035,0.054552550000002
-192396.5,353002,19.6,545398.5,19.36164675,19.4161866,19.47072645,0.054539850000001
-192396.5,353028,19.6,545424.5,19.36256975,19.4171122,19.47165465,0.054542450000001
-192396.5,353283,19.6,545679.5,19.37162225,19.4261902,19.48075815,0.054567950000003
-192396.5,353005,19.6,545401.5,19.36175325,19.4162934,19.47083355,0.054540150000001
-192396.5,353260,19.6,545656.5,19.37080575,19.4253714,19.47993705,0.054565650000001
-192396.5,353152,19.6,545548.5,19.36697175,19.4215266,19.47608145,0.054554850000002
-192396.5,353339,19.6,545735.5,19.37361025,19.4281838,19.48275735,0.054573550000001
-192396.5,353121,19.6,545517.5,19.36587125,19.420423,19.47497475,0.05455175
-192396.5,353064,19.6,545460.5,19.36384775,19.4183938,19.47293985,0.054546050000001
-192396.5,353129,19.6,545525.5,19.36615525,19.4207078,19.47526035,0.054552550000002
-192396.5,353037,19.6,545433.5,19.36288925,19.4174326,19.47197595,0.054543350000001
-192396.5,353170,19.6,545566.5,19.36761075,19.4221674,19.47672405,0.05455665
-192396.5,353214,19.6,545610.5,19.36917275,19.4237338,19.47829485,0.05456105
-192396.5,353159,19.6,545555.5,19.36722025,19.4217758,19.47633135,0.054555550000002
-192396.5,353191,19.6,545587.5,19.36835625,19.422915,19.47747375,0.05455875
-192396.5,353116,19.6,545512.5,19.36569375,19.420245,19.47479625,0.054551250000001
-192396.5,353190,19.6,545586.5,19.36832075,19.4228794,19.47743805,0.054558650000001
-192396.5,353051,19.6,545447.5,19.36338625,19.417931,19.47247575,0.05454475
-192396.5,353192,19.6,545588.5,19.36839175,19.4229506,19.47750945,0.054558850000001
-192396.5,353293,19.6,545689.5,19.37197725,19.4265462,19.48111515,0.054568950000002
-192396.5,352928,19.6,545324.5,19.35901975,19.4135522,19.46808465,0.054532450000002
-192396.5,353012,19.6,545408.5,19.36200175,19.4165426,19.47108345,0.054540850000002
-192396.5,353081,19.6,545477.5,19.36445125,19.418999,19.47354675,0.054547750000001
-192396.5,352981,19.6,545377.5,19.36090125,19.415439,19.46997675,0.05453775
-192396.5,353186,19.6,545582.5,19.36817875,19.422737,19.47729525,0.054558250000001
-192396.5,353316,19.6,545712.5,19.37279375,19.427365,19.48193625,0.054571250000002
-192396.5,353090,19.6,545486.5,19.36477075,19.4193194,19.47386805,0.054548650000001
-192396.5,353213,19.6,545609.5,19.36913725,19.4236982,19.47825915,0.054560950000003
-192396.5,353048,19.6,545444.5,19.36327975,19.4178242,19.47236865,0.054544450000002
-192396.5,353027,19.6,545423.5,19.36253425,19.4170766,19.47161895,0.054542350000002
-192396.5,352887,19.6,545283.5,19.35756425,19.4120926,19.46662095,0.054528350000002
-192396.5,352864,19.6,545260.5,19.35674775,19.4112738,19.46579985,0.05452605
-192396.5,353063,19.6,545459.5,19.36381225,19.4183582,19.47290415,0.054545950000001
-192396.5,353098,19.6,545494.5,19.36505475,19.4196042,19.47415365,0.054549450000002
-192396.5,353244,19.6,545640.5,19.37023775,19.4248018,19.47936585,0.054564050000002
-192396.5,352959,19.6,545355.5,19.36012025,19.4146558,19.46919135,0.054535550000003
-192396.5,353011,19.6,545407.5,19.36196625,19.416507,19.47104775,0.054540750000001
-192396.5,353070,19.6,545466.5,19.36406075,19.4186074,19.47315405,0.054546650000001
-192396.5,353096,19.6,545492.5,19.36498375,19.419533,19.47408225,0.054549250000001
